Date,Open,High,Low,Close,Adj Close,Volume
10/18/22,79.800003,80.589996,78.379997,79.440002,76.668243,9767800
10/19/22,79.150002,79.589996,77.370003,77.639999,74.931038,7429600
10/20/22,77.629997,78.540001,76.139999,76.599998,73.92733,7638100
10/21/22,76.610001,79.529999,76.220001,79.220001,76.45591,8149000
10/24/22,79.529999,81.099998,78.57,79.43,76.658585,8143300
10/25/22,78.610001,80.669998,78.610001,80.510002,77.700905,8173600
10/26/22,80.599998,82.050003,80.580002,80.910004,78.086952,7733400
10/27/22,82,82.480003,80.599998,80.690002,77.874626,6466400
10/28/22,80.269997,82.300003,79.510002,82.220001,80.120773,7816100
10/31/22,81.769997,83.360001,81.690002,82.169998,80.072044,9087400
11/1/22,83.25,83.970001,82.989998,83.720001,81.582474,8195600
11/2/22,83.449997,86.720001,83.419998,84.370003,82.215874,10907500
11/3/22,83.059998,84.629997,82.550003,83.620003,81.485023,6447200
11/4/22,85.150002,85.75,84,84.849998,82.683617,6929700
11/7/22,85.519997,86.129997,85.110001,85.57,83.385246,4599600
11/8/22,85.610001,86.230003,84.510002,85.279999,83.102638,4850300
11/9/22,84.879997,85.339996,83.190002,83.449997,81.319366,5200800
11/10/22,86.690002,88.980003,86.519997,88.800003,86.532776,10013900
11/11/22,89,91.690002,89,90.779999,88.462219,9119100
11/14/22,90.269997,91.360001,89.790001,89.809998,87.516983,4873400
11/15/22,91.07,91.860001,89.360001,90.5,88.189369,7336100
11/16/22,90.470001,90.470001,89.059998,89.82,87.526733,4368600
11/17/22,88.690002,89.120003,87.510002,88.949997,86.67894,4967300
11/18/22,90.269997,90.370003,88.589996,89.199997,86.922546,5450700
11/21/22,89.059998,89.68,88.57,89.080002,86.805618,4667100
11/22/22,89.589996,90.190002,89.300003,89.669998,87.380554,3804100
11/23/22,89.720001,90.449997,89.669998,89.93,87.633919,4961400
11/25/22,89.650002,91.080002,89.470001,90.910004,88.588898,2450100
11/28/22,90.199997,91.099998,89.699997,89.889999,87.59494,6147700
11/29/22,89.639999,91.470001,89.599998,91.080002,88.754562,5307100
11/30/22,91.279999,93.25,89.129997,93.07,90.693748,10520600
12/1/22,93.059998,93.489998,92.040001,93,90.625534,7310400
12/2/22,91.860001,92.660004,91.510002,92.099998,89.748512,5197800
12/5/22,91.480003,91.720001,89.089996,89.809998,87.516983,8272500
12/6/22,89.620003,89.760002,86.410004,87.510002,85.275711,10424700
12/7/22,86.82,88.029999,86.709999,87.279999,85.051582,7066700
12/8/22,87.68,88.790001,87,88.690002,86.425583,6141400
12/9/22,88.68,89.760002,88.370003,89.470001,87.185669,6488300
12/12/22,89.010002,91.330002,88.279999,91.120003,88.793541,7496200
12/13/22,93.660004,95.160004,92.07,92.709999,90.342941,10330500
12/14/22,92.510002,92.68,89.870003,90.5,88.189369,7704600
12/15/22,89.150002,89.190002,86.919998,87.790001,85.548553,8795200
12/16/22,86.529999,86.870003,85.830002,86.860001,84.642303,17262000
12/19/22,86.739998,87.040001,84.959999,85.550003,83.365746,5129600
12/20/22,85.919998,86.449997,85.139999,85.160004,82.98571,5206800
12/21/22,86.410004,87.82,86.349998,86.870003,84.652054,5422400
12/22/22,86.580002,86.580002,84.769997,86.370003,84.164818,5635200
12/23/22,86.330002,86.580002,85.349998,86.110001,83.911453,3316100
12/27/22,86.360001,86.360001,84.940002,85.059998,82.88826,7064700
12/28/22,84.959999,85.209999,84.059998,84.459999,82.303581,3714900
12/29/22,84.959999,85.589996,84.559998,85.239998,83.06366,3461700
12/30/22,84.699997,85.199997,84.18,85.019997,82.849281,4455600
1/3/23,85.639999,86.599998,84.980003,85.720001,83.53141,5108900
1/4/23,85.550003,87.349998,85.18,86.650002,84.437668,7726800
1/5/23,85.900002,86.169998,84.830002,85.919998,83.726303,5339900
1/6/23,86.440002,87.959999,85.709999,87.559998,85.324432,5710900
1/9/23,88.25,88.910004,87.410004,87.639999,85.402382,5039700
1/10/23,87.550003,88.93,86.839996,88.919998,86.649704,4536600
1/11/23,89.370003,89.809998,88.849998,89.43,87.14669,6122600
1/12/23,90.019997,91.809998,89.349998,90.529999,88.218605,7895600
1/13/23,89.029999,91.980003,88.269997,91.660004,89.319756,8414600
1/17/23,95.900002,99.099998,95,97.080002,94.601364,27914300
1/18/23,96.800003,97.949997,96.339996,96.580002,94.114136,14134800
1/19/23,94.610001,94.980003,92.940002,94.150002,91.746185,13457100
1/20/23,94.129997,96.279999,93.879997,96.239998,93.782814,10785000
1/23/23,95.870003,97.220001,95.489998,97.129997,94.650085,8735300
1/24/23,96.279999,96.809998,92.919998,95.510002,93.071457,4801600
1/25/23,94.879997,95.93,94.440002,95.639999,93.198135,5891000
1/26/23,96.220001,96.540001,95.309998,96.5,94.036171,6085100
1/27/23,96.410004,97.43,95.709999,96.860001,94.386986,7990800
1/30/23,95.029999,96.610001,94.919998,95.959999,94.264198,5870100
1/31/23,96.290001,97.370003,95.760002,97.330002,95.609985,7182100
2/1/23,96.949997,99.059998,96.93,98.190002,96.454788,9815200
2/2/23,98.879997,100.269997,97.959999,99.209999,97.456764,11118900
2/3/23,98.239998,100.18,98.07,99.43,97.672874,6948600
2/6/23,98.449997,99.199997,98.07,98.900002,97.152245,4737700
2/7/23,98.769997,99.82,98.050003,99.220001,97.466591,5060700
2/8/23,98.32,99.940002,98.059998,98.959999,97.211174,4705200
2/9/23,99.220001,99.800003,97.730003,98.050003,96.317261,4983800
2/10/23,97.589996,98.599998,97.559998,98.440002,96.700371,5224900
2/13/23,98.459999,99.760002,98.160004,99.43,97.672874,4910300
2/14/23,99.050003,100.989998,98.970001,100.559998,98.782906,7679500
2/15/23,99.510002,100.959999,99.5,100.830002,99.048134,6464200
2/16/23,99.779999,100.239998,98.809998,99.57,97.810402,6051800
2/17/23,98.900002,100.019997,98.300003,99.510002,97.751457,8133000
2/21/23,98.459999,99,97.18,97.620003,95.894859,6556000
2/22/23,97.370003,98.07,96.620003,97.269997,95.551041,5072400
2/23/23,97.879997,98.419998,96.699997,97.940002,96.209206,5916100
2/24/23,97.150002,97.980003,96.610001,97.699997,95.973442,5414200
2/27/23,98.410004,98.480003,96.580002,96.699997,94.991119,5645000
2/28/23,97.120003,97.290001,96.260002,96.5,94.794655,6745300
3/1/23,95.959999,96.760002,95.260002,96.190002,94.490135,5429600
3/2/23,95.449997,96.370003,94.480003,96.080002,94.382072,4632400
3/3/23,96.550003,98.440002,96.449997,98.330002,96.592316,6504000
3/6/23,98.440002,99.199997,98.099998,98.379997,96.641426,5215200
3/7/23,98,98.260002,95.970001,96.059998,94.362427,5461400
3/8/23,95.639999,96.5,95.360001,95.900002,94.205254,4121300
3/9/23,95.360001,95.949997,91.769997,92.199997,90.570641,9162400
3/10/23,91.769997,93.010002,89.230003,90.050003,88.458641,16206500
3/13/23,88.540001,90.18,86.650002,87.989998,86.435036,15175400
3/14/23,92.410004,92.410004,89.120003,89.970001,88.380051,11089300
3/15/23,86.93,87.019997,83.68,85.389999,83.880989,14814000
3/16/23,84.550003,88.279999,83.279999,87.010002,85.472359,15342400
